Papel,Cotação,Tipo,Data ult cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m),Valor de mercado,Últ balanço processado,Valor da firma,Nro. Ações,Dia,P/L,LPA,Mês,P/VP,VPA,30 dias,P/EBIT,Marg. Bruta,12 meses,PSR,Marg. EBIT,2021,P/Ativos,Marg. Líquida,2020,P/Cap. Giro,EBIT / Ativo,2019,P/Ativ Circ Liq,ROIC,2018,Div. Yield,ROE,2017,EV / EBITDA,Liquidez Corr,2016,EV / EBIT,Div Br/ Patrim,2015,Cres. Rec (5a),Giro Ativos,Ativo,Depósitos,Cart. de Crédito,Dív. Bruta,Disponibilidades,Dív. Líquida,Ativo Circulante,Patrim. Líq,Receita Líquida_12meses,Receita Líquida_3meses,EBIT_12meses,EBIT_3meses,Result Int Financ_12meses,Result Int Financ_3meses,Rec Serviços_12meses,Rec Serviços_3meses,Lucro Líquido_12meses,Lucro Líquido_3meses
RSID3,8.81,ON N1,03/11/2021,ROSSI RESIDENCIAL ON N1,5.42,Construção Civil,14.50,Incorporações,990.076,151121000,30/06/2021,694452000,17153300,4.76,0.79,11.18,7.18,-0.33,-26.81,-1.12,-4.57,55.7,66.36,1.32,-28.8,32.88,0.10,152.3,-27.52,-0.14,-2.2,72.08,-0.10,-2.3,-26.29,0.0,-41.7,166.30,-23.77,"
0.31",-15.63,"-21,02",-1.25,NaN,-36.8,0.08,1489680000,NaN,NaN,575114000,31783000,543331000,502160000,-459925000,114814000,19734000,-33038000,3903000,NaN,NaN,NaN,NaN,191784000,106229000
RAIL3,17.32,ON NM,03/11/2021,RUMO S.A. ON NM,15.99,Transporte,21.70,Transporte Ferroviário,205.277.000,32114000000,30/06/2021,43506700000,1854160000,4.59,49.43,0.35,8.32,2.08,8.33,0.06,15.17,33.7,-5.90,4.18,27.6,-9.98,0.75,8.6,-26.47,7.52,5.0,53.53,-1.70,5.7,31.07,0.0,4.2,111.24,11.24,"
2.13",2.50,"20,55",1.05,NaN,11.0,0.18,42718600000,NaN,NaN,16187600000,4794870000,11392700000,8035690000,15449300000,7676480000,2215890000,2117500000,719904000,NaN,NaN,NaN,NaN,649729000,312137000
SAPR3,3.81,ON,03/11/2021,SANEPAR ON,3.52,Água e Saneamento,6.35,Água e Saneamento,2.774.560,5757690000,30/06/2021,8805540000,1511210000,3.81,5.57,0.68,6.42,0.79,4.84,1.33,3.10,60.0,-19.17,1.17,37.9,-34.39,0.42,21.1,6.20,7.58,13.4,7.74,-1.26,14.7,42.29,4.8,14.1,118.68,3.94,"
1.62",57.76,"4,74",0.55,NaN,8.3,0.35,13868500000,NaN,NaN,4036140000,988297000,3047840000,1989110000,7310300000,4903350000,1273390000,1857980000,526076000,NaN,NaN,NaN,NaN,1034240000,331817000
SAPR4,3.86,PN,03/11/2021,SANEPAR PN,3.72,Água e Saneamento,5.19,Água e Saneamento,19.808.700,5833250000,30/06/2021,8881100000,1511210000,1.85,5.64,0.68,3.76,0.80,4.84,0.78,3.14,60.0,-16.12,1.19,37.9,-21.38,0.42,21.1,-25.44,7.68,13.4,109.54,-1.28,14.7,-3.17,5.2,14.1,14.68,3.97,"
1.62",280.67,"4,78",0.55,NaN,8.3,0.35,13868500000,NaN,NaN,4036140000,988297000,3047840000,1989110000,7310300000,4903350000,1273390000,1857980000,526076000,NaN,NaN,NaN,NaN,1034240000,331817000
SAPR11,19.31,UNT N2,03/11/2021,SANEPAR UNT N2,18.25,Água e Saneamento,27.02,Água e Saneamento,33.352.400,5836280000,30/06/2021,8884120000,1511210000,3.26,5.64,3.42,5.81,0.80,24.19,1.95,3.14,60.0,-16.94,1.19,37.9,-22.92,0.42,21.1,-21.00,7.68,13.4,74.11,-1.28,14.7,8.29,5.1,14.1,-0.96,3.97,"
1.62",0.00,"4,78",0.55,NaN,8.3,0.35,13868500000,NaN,NaN,4036140000,988297000,3047840000,1989110000,7310300000,4903350000,1273390000,1857980000,526076000,NaN,NaN,NaN,NaN,1034240000,331817000
SCAR3,38.29,ON,03/11/2021,SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A. ON,31.71,Exploração de Imóveis,48.53,Exploração de Imóveis,380.021,2210750000,30/06/2021,3245560000,57737000,-1.52,23.55,1.63,3.49,1.41,27.10,7.41,10.14,80.6,2.83,6.33,62.4,-12.78,0.74,27.4,-5.61,6.56,7.3,46.16,-2.39,8.1,-24.45,1.0,6.0,74.70,12.20,"
3.15",16.36,"14,89",0.86,NaN,-12.3,0.12,2993900000,NaN,NaN,1352430000,317616000,1034810000,493286000,1564770000,349037000,60705000,217944000,30423000,NaN,NaN,NaN,NaN,93877000,7332000
STBP3,5.79,ON NM,03/11/2021,SBPAR ON NM,4.13,Transporte,9.93,Serviços de Apoio e Armazenagem,36.140.700,4995790000,30/06/2021,4307450000,862831000,1.40,49.87,0.12,12.43,2.28,2.54,-29.82,26.26,33.4,50.39,4.25,16.2,10.29,1.11,8.5,-35.53,5.43,4.2,93.38,-4.97,5.7,24.78,0.0,4.6,41.25,11.97,"
3.28",-13.04,"22,64",0.19,NaN,7.7,0.26,4520070000,NaN,NaN,410710000,1099050000,-688337000,1322320000,2192350000,1175040000,379547000,190220000,98021000,NaN,NaN,NaN,NaN,100176000,60398000
SLED4,0.30,PN,03/11/2021,EDITORA SARAIVA PN,0.28,Comércio,0.76,Produtos Diversos,271.037,19023000,30/06/2021,290693000,63410000,3.45,-0.07,-4.46,3.45,-0.03,-9.10,-6.25,-0.24,27.8,-45.45,0.15,-62.7,-53.13,0.07,-226.0,-70.09,-0.29,-28.1,1.42,-0.03,-41.8,-46.31,0.0,49.0,18.37,-5.44,"
0.65",-22.97,"-3,70",-0.48,NaN,-48.3,0.45,279126000,NaN,NaN,279678000,8008000,271670000,122439000,-577082000,125093000,19751000,-78489000,-15272000,NaN,NaN,NaN,NaN,-282684000,-13387000
SEER3,11.12,ON NM,03/11/2021,SER EDUCA ON NM,10.44,Diversos,19.18,Serviços Educacionais,9.893.190,1431390000,30/06/2021,1521480000,128722000,1.74,9.59,1.16,6.51,0.98,11.39,-7.41,8.22,53.2,-12.91,1.11,13.5,-27.84,0.44,11.6,-42.60,4.06,5.3,98.36,-1.63,6.3,-48.98,3.3,10.2,71.05,4.34,"
1.63",152.05,"8,74",0.38,NaN,2.0,0.40,3257810000,NaN,NaN,562626000,472533000,90093100,910943000,1466360000,1291290000,385651000,174071000,74394000,NaN,NaN,NaN,NaN,149318000,25698000
SLED3,0.58,ON,03/11/2021,EDITORA SARAIVA ON,0.57,Comércio,1.83,Produtos Diversos,103.491,36777800,30/06/2021,308448000,63410000,0.00,-0.13,-4.46,1.75,-0.06,-9.10,-10.77,-0.47,27.8,-26.58,0.29,-62.7,-49.12,0.13,-226.0,-75.74,-0.56,-28.1,197.47,-0.05,-41.8,-54.73,0.0,49.0,-48.37,-5.78,"
0.65",100.59,"-3,93",-0.48,NaN,-48.3,0.45,279126000,NaN,NaN,279678000,8008000,271670000,122439000,-577082000,125093000,19751000,-78489000,-15272000,NaN,NaN,NaN,NaN,-282684000,-13387000
SMTO3,39.10,ON NM,03/11/2021,SAO MARTINHO ON NM,20.51,Alimentos Processados,39.50,Açucar e Alcool,51.696.600,13841800000,30/06/2021,18158400000,354011000,-1.01,13.82,2.83,2.09,3.09,12.64,11.68,10.86,37.7,89.17,3.03,27.9,46.87,1.06,21.9,18.21,6.97,9.7,34.24,-2.85,11.2,-3.28,3.1,22.4,0.55,6.82,"
2.11",32.82,"14,25",1.26,NaN,11.5,0.35,13108400000,NaN,NaN,5642770000,1326250000,4316520000,3782300000,4476400000,4571840000,1287780000,1274100000,368330000,NaN,NaN,NaN,NaN,1001510000,190091000
SHUL4,8.81,PN,03/11/2021,SCHULZ PN,5.92,Máquinas e Equipamentos,11.23,"Motores, Compressores e Outros",3.343.850,1574230000,30/06/2021,1945470000,178687000,5.51,8.91,0.99,6.79,1.97,4.46,-6.77,12.33,21.2,44.28,1.10,8.9,32.21,0.83,12.3,36.26,2.03,6.8,49.41,10.49,9.2,47.39,2.5,22.1,66.06,11.34,"
2.65",14.94,"15,24",0.94,NaN,20.9,0.76,1890980000,NaN,NaN,748251000,377009000,371242000,1243330000,797717000,1433010000,425526000,127697000,38775000,NaN,NaN,NaN,NaN,176607000,36195000
CSNA3,22.09,ON,03/11/2021,CSN ON,18.52,Siderurgia e Metalurgia,50.37,Siderurgia,369.599.000,30650400000,30/09/2021,41887600000,1387520000,-4.58,2.03,10.87,-3.03,1.52,14.55,-24.40,1.56,47.6,2.78,0.65,41.5,-27.74,0.40,34.7,125.95,2.68,25.8,70.82,-1.60,38.4,13.31,8.7,74.7,-22.77,1.87,"
1.51",180.96,"2,13",1.47,NaN,23.6,0.62,76072000000,NaN,NaN,29682900000,18445700000,11237200000,33609000000,20194800000,47345200000,10246200000,19631700000,3542180000,NaN,NaN,NaN,NaN,15084500000,1149540000
SLCE3,44.58,ON NM,03/11/2021,SLC Agricola ON NM,24.33,Agropecuária,56.49,Agricultura,60.477.700,8608910000,30/06/2021,10025900000,193111000,3.48,9.35,4.77,2.29,2.33,19.16,-3.34,5.73,35.4,75.24,1.65,28.8,65.85,0.84,18.8,14.63,3.95,14.7,24.19,-5.56,17.5,64.77,2.8,24.9,102.67,6.14,"
1.85",-6.56,"6,67",0.73,NaN,25.4,0.51,10248400000,NaN,NaN,2687340000,1270310000,1417030000,4723420000,3699590000,5215640000,1687900000,1502120000,713249000,NaN,NaN,NaN,NaN,921038000,418724000
SQIA3,17.34,ON,03/11/2021,SINQIA ON,16.35,Programas e Serviços,30.64,Programas e Serviços,27.692.700,1524910000,30/06/2021,1540620000,87942000,0.87,159.88,0.11,2.06,3.44,5.04,-22.62,79.16,38.0,-13.28,5.69,7.2,-26.16,2.13,3.8,-3.32,14.71,2.7,287.66,-19.43,3.5,-4.53,0.1,2.2,93.57,29.89,"
2.16",55.45,"79,98",0.38,NaN,23.9,0.37,715959000,NaN,NaN,169851000,154149000,15702000,192622000,443333000,267868000,87818000,19263000,8081000,NaN,NaN,NaN,NaN,9538000,4813000
SUZB3,49.77,ON,03/11/2021,Suzano Papel ON,48.05,Madeira e Papel,79.18,Papel e Celulose,499.330.000,67750100000,30/09/2021,126208000000,1361260000,1.76,5.54,8.99,1.10,5.01,9.93,-5.15,4.87,47.2,-5.68,1.81,37.1,-14.98,0.60,32.6,47.28,3.27,12.3,5.34,-0.97,15.2,104.73,0.0,90.5,36.50,6.05,"
3.32",-20.99,"9,07",5.71,NaN,41.4,0.33,113383000000,NaN,NaN,77147900000,18690000000,58457900000,29686000000,13518500000,37508400000,10761900000,13920300000,4564250000,NaN,NaN,NaN,NaN,12231200000,-961974000
