Papel,Cotação,P/L,P/VP,PSR,Div.Yield%,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA%,Mrg Ebit%,Mrg. Líq.,Liq. Corr.,ROIC%,ROE%,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a%
LUPA3,6.43,2.52,1.58,2.58,0.0,0.386,1.67,-10.38,-1.07,-16.51,-23.94,-24.86,102.37,2.4,-3.96,62.83,17876000.0,118227000.0,1.09,-11.02
PETR4,26.85,2.59,0.95,0.89,8.95,0.359,12.66,2.02,-0.81,3.54,2.58,43.99,34.56,1.2,19.61,36.59,2293870000.0,369077000000.0,0.88,4.96
EUCA4,8.28,2.61,0.45,0.358,4.94,0.255,2.73,2.08,-3.37,3.08,2.17,17.16,14.5,1.36,13.53,17.23,1260660.0,1707490000.0,0.27,15.5
ESCE3,172.0,2.61,0.8,0.203,0.0,0.167,3.23,1.42,-0.33,3.95,3.27,14.28,7.77,1.22,13.7,30.54,0.0,1266910000.0,1.62,11.01
PETR3,27.48,2.65,0.97,0.911,8.74,0.368,12.95,2.07,-0.83,3.58,2.61,43.99,34.56,1.2,19.61,36.59,550065000.0,369077000000.0,0.88,4.96
TPIS3,2.25,2.65,0.47,0.395,1.83,0.123,-0.91,-3.39,-0.18,-17.81,5.44,-11.67,12.59,0.31,-3.8,17.68,9776980.0,843734000.0,2.09,-10.45
GGBR3,21.34,2.82,0.89,0.521,8.15,0.487,1.65,2.25,26.34,2.78,2.41,23.2,18.54,2.7,27.37,31.63,2763280.0,41083000000.0,0.42,13.1
CYRE3,15.11,2.84,1.01,1.371,17.52,0.488,1.27,7.96,10.06,9.65,9.43,17.23,49.64,3.43,7.51,35.62,151746000.0,5962210000.0,0.56,12.46
USIM6,18.99,2.89,1.18,0.764,6.49,0.611,1.68,2.42,4.78,2.3,2.08,31.57,30.44,3.08,33.99,40.77,239.83,20164300000.0,0.3,27.09
PTBL4,2.59,2.94,0.99,0.236,0.0,0.203,4.27,1.55,-0.56,3.37,2.68,15.19,8.02,1.12,16.39,33.74,0.0,403103000.0,1.6,11.61
GOAU3,11.32,3.01,0.82,0.175,8.22,0.16,0.52,0.75,4.16,1.19,1.03,23.18,17.71,2.8,27.3,27.27,1144180.0,15012200000.0,1.14,13.1
MARI3,2.93,3.04,0.76,0.346,0.0,0.384,0.95,4.99,1.65,4.89,4.89,6.94,11.37,2.23,10.67,25.13,0.0,706711000.0,0.32,11.89
BRKM6,36.0,3.07,3.31,0.342,0.0,0.326,3.59,1.35,-0.69,2.32,1.95,25.35,11.35,1.26,33.38,107.98,755.53,8660000000.0,3.94,11.37
GOAU4,11.91,3.16,0.86,0.184,7.81,0.168,0.54,0.79,4.38,1.23,1.07,23.18,17.71,2.8,27.3,27.27,157423000.0,15012200000.0,1.14,13.1
ETER3,14.51,3.21,2.02,0.907,0.0,1.002,2.0,3.44,5.26,2.85,2.66,26.38,28.25,3.57,39.9,62.99,23684100.0,442976000.0,0.1,4.78
BOBR4,1.78,3.32,-4.03,0.414,0.0,0.547,-1.95,8.99,-0.71,14.73,10.2,4.6,12.46,0.57,7.97,-121.55,114266.0,-114922000.0,-2.73,1.12
GGBR4,25.55,3.38,1.07,0.624,6.81,0.583,1.97,2.69,31.54,3.22,2.79,23.2,18.54,2.7,27.37,31.63,427593000.0,41083000000.0,0.42,13.1
BRAP3,44.0,3.41,1.29,0.0,13.22,1.283,23.64,-743.0,23.91,-710.83,-710.83,0.0,0.0,16.3,-0.18,37.74,13707300.0,13421700000.0,0.0,0.0
VALE3,66.83,3.58,1.89,1.134,22.55,0.726,16.11,1.88,-1.92,1.96,1.8,60.25,31.39,1.24,46.56,52.78,2564840000.0,181296000000.0,0.41,27.44
BRAP4,46.23,3.59,1.35,0.0,13.84,1.348,24.84,-780.66,25.12,-748.48,-748.48,0.0,0.0,16.3,-0.18,37.74,179849000.0,13421700000.0,0.0,0.0
